GameDate,OffenseTeam,Dome
9/9/13,WAS,
9/9/13,SD,
15/9/13,KC,
15/9/13,PHI,
15/9/13,SEA,
15/9/13,BAL,
15/9/13,CHI,
15/9/13,OAK,
15/9/13,ATL,1
15/9/13,ARI,1
15/9/13,HOU,1
15/9/13,GB,
15/9/13,IND,1
15/9/13,TB,
15/9/13,NYG,
15/9/13,BUF,
16/9/13,CIN,
19/9/13,PHI,
22/9/13,TEN,
22/9/13,SF,
22/9/13,MIN,
22/9/13,CIN,
22/9/13,NE,
22/9/13,PIT,
22/9/13,SEA,
22/9/13,CAR,
22/9/13,NO,1
22/9/13,MIA,
22/9/13,WAS,
22/9/13,DAL,1
22/9/13,BAL,
22/9/13,NYJ,
23/9/13,DEN,
26/9/13,STL,1
29/9/13,KC,
29/9/13,OAK,
29/9/13,DEN,
29/9/13,BUF,
29/9/13,CLE,
29/9/13,MIN,
29/9/13,HOU,1
29/9/13,JAC,
29/9/13,DET,1
29/9/13,ATL,1
29/9/13,SD,
29/9/13,TB,
29/9/13,TEN,
30/9/13,NO,1
10/10/13,CHI,
13/10/13,MIN,
13/10/13,BAL,
13/10/13,HOU,1
13/10/13,KC,
13/10/13,DAL,1
13/10/13,DEN,
13/10/13,BUF,
13/10/13,TB,
13/10/13,NYJ,
13/10/13,CLE,
13/10/13,SEA,
13/10/13,SF,
13/10/13,NE,
14/10/13,SD,
17/10/13,ARI,1
20/10/13,CAR,
20/10/13,ATL,1
20/10/13,PIT,
20/10/13,TEN,
20/10/13,MIA,
20/10/13,NYJ,
20/10/13,DET,1
20/10/13,JAC,
20/10/13,KC,
20/10/13,WAS,
20/10/13,GB,
20/10/13,IND,1
20/10/13,PHI,
21/10/13,NYG,
24/10/13,TB,
27/10/13,NE,
27/10/13,ARI,1
27/10/13,MIN,
27/10/13,OAK,
27/10/13,DET,1
27/10/13,CIN,
27/10/13,PHI,
27/10/13,NO,1
27/10/13,JAC,
27/10/13,DEN,
27/10/13,KC,
28/10/13,STL,1
31/10/13,MIA,
11/11/13,TB,
14/11/13,TEN,
17/11/13,NO,1
17/11/13,SEA,
17/11/13,DEN,
17/11/13,HOU,1
17/11/13,NYG,
17/11/13,MIA,
17/11/13,JAC,
17/11/13,CHI,
17/11/13,TB,
17/11/13,PIT,
17/11/13,BUF,
17/11/13,PHI,
17/11/13,CIN,
18/11/13,CAR,
21/11/13,ATL,1
24/11/13,KC,
24/11/13,CLE,
24/11/13,ARI,1
24/11/13,BAL,
24/11/13,NE,
24/11/13,OAK,
24/11/13,MIA,
24/11/13,STL,1
24/11/13,GB,
24/11/13,HOU,1
24/11/13,DET,1
24/11/13,NYG,
25/11/13,WAS,
28/11/13,DAL,1
28/11/13,BAL,
28/11/13,DET,1
12/12/13,DEN,
15/12/13,STL,1
15/12/13,NYG,
15/12/13,CLE,
15/12/13,TB,
15/12/13,CAR,
15/12/13,JAC,
15/12/13,ATL,1
15/12/13,MIA,
15/12/13,OAK,
15/12/13,IND,1
15/12/13,DAL,1
15/12/13,TEN,
15/12/13,PIT,
15/12/13,MIN,
16/12/13,DET,1
22/12/13,JAC,
22/12/13,GB,
22/12/13,KC,
22/12/13,NYJ,
22/12/13,HOU,1
22/12/13,WAS,
22/12/13,CAR,
22/12/13,BUF,
22/12/13,DET,1
22/12/13,SEA,
22/12/13,STL,1
22/12/13,BAL,
22/12/13,CIN,
22/12/13,PHI,
22/12/13,SD,
23/12/13,SF,
29/12/13,MIA,
29/12/13,IND,1
29/12/13,ATL,1
29/12/13,ARI,1
29/12/13,SEA,
29/12/13,TEN,
29/12/13,OAK,
29/12/13,MIN,
29/12/13,CIN,
29/12/13,NYG,
29/12/13,SD,
29/12/13,CHI,
29/12/13,DAL,1
29/12/13,NO,1
29/12/13,PIT,
29/12/13,NE,
14/9/14,TB,
14/9/14,SF,
14/9/14,CLE,
14/9/14,CAR,
