Team,Airport,TeamFull,Location,State
NE,KBOS,New England Patriots,Foxboro,MA
CHI,KMDW,Chicago Bears,Chicago,IL
STL,KSTL,St. Louis Rams,St_Louis,MO
JAC,KNIP,Jacksonville Jaguars,Jacksonville,FL
WAS,KCGS,Washington Redskins,Landover,MD
BUF,KBUF,Buffalo Bills,Orchard_Park,NY
CLE,KBKL,Cleveland Browns,Cleveland,OH
NYJ,KTEB,New York Jets,East_Rutherford,NJ
HOU,KHOU,Houston Texans,Houston,TX
KC,KNKA,Kansas City Chiefs,Kansas_City,MO
NO,KAUD,New Orleans Saints,New_Orleans,LA
SD,KSAN,San Diego Chargers,San_Diego,CA
DEN,KAPA,Denver Broncos,Denver,CO
BAL,KBWI,Baltimore Ravens,Baltimore,MD
OAK,KOAK,Oakland Raiders,Oakland,CA
CIN,KLUK,Cincinnati Bengals,Cincinnati,OH
TEN,KBNA,Tennessee Titans,Nashville,TN
TB,KTPF,Tampa Bay Buccaneers,Tampa,FL
DAL,KGKY,Dallas Cowboys,Arlington,TX
NYG,KTEB,New York Giants,East_Rutherford,NJ
ATL,KPDK,Atlanta Falcons,Atlanta,GA
PHI,KPNE,Philadelphia Eagles,Philadelphia,PA
SF,KSJC,San Francisco 49ers,Santa_Clara,CA
MIN,KMIC,Minnesota Vikings,Minneapolis,MN
CAR,KCLT,Carolina Panthers,Charlotte,NC
ARI,KGEU,Arizona Cardinals,Glendale,AZ
DET,KDET,Detroit Lions,Detroit,MI
PIT,KAGC,Pittsburgh Steelers,Pittsburgh,PA
MIA,KOPF,Miami Dolphins,Miami,FL
SEA,KBFI,Seattle Seahawks,Seattle,WA
GB,KGRB,Green Bay Packers,Green_Bay,WI
IND,KIND,Indianapolis Colts,Indianapolis,IN
SB14,KTEB,Superbowl 2014,East_Rutherford,NJ
SB15,KGEU,Superbowl 2015,Glendale,AZ
SB16,KSJC,Superbowl 2016,Santa_Clara,CA
