GameDate,location,team,city,state,OffenseTeam,year,month,day,rain,snow
2013-09-05,Denver Broncos,Denver Broncos,Denver,CO,DEN,2013,09,05,0,0
2013-09-08,New York Jets,New York Jets,East_Rutherford,NJ,NYJ,2013,09,08,0,0
2013-09-08,Buffalo Bills,Buffalo Bills,Orchard_Park,NY,BUF,2013,09,08,1,0
2013-09-08,St. Louis Rams,St. Louis Rams,St_Louis,MO,STL,2013,09,08,1,0
2013-09-08,Carolina Panthers,Carolina Panthers,Charlotte,NC,CAR,2013,09,08,0,0
2013-09-08,Detroit Lions,Detroit Lions,Detroit,MI,DET,2013,09,08,0,0
2013-09-08,Chicago Bears,Chicago Bears,Chicago,IL,CHI,2013,09,08,0,0
2013-09-08,Jacksonville Jaguars,Jacksonville Jaguars,Jacksonville,FL,JAC,2013,09,08,0,0
2013-09-08,Dallas Cowboys,Dallas Cowboys,Arlington,TX,DAL,2013,09,08,0,0
2013-09-08,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh,PA,PIT,2013,09,08,0,0
2013-09-08,Cleveland Browns,Cleveland Browns,Cleveland,OH,CLE,2013,09,08,0,0
2013-09-08,San Francisco 49ers,San Francisco 49ers,Santa_Clara,CA,SF,2013,09,08,0,0
2013-09-08,Indianapolis Colts,Indianapolis Colts,Indianapolis,IN,IND,2013,09,08,0,0
2013-09-08,New Orleans Saints,New Orleans Saints,New_Orleans,LA,NO,2013,09,08,1,0
2013-09-12,New England Patriots,New England Patriots,Foxboro,MA,NE,2013,09,12,1,0
2013-10-03,Cleveland Browns,Cleveland Browns,Cleveland,OH,CLE,2013,10,03,1,0
2013-10-06,Arizona Cardinals,Arizona Cardinals,Glendale,AZ,ARI,2013,10,06,0,0
2013-10-06,Green Bay Packers,Green Bay Packers,Green_Bay,WI,GB,2013,10,06,1,0
2013-10-06,Indianapolis Colts,Indianapolis Colts,Indianapolis,IN,IND,2013,10,06,1,0
2013-10-06,Tennessee Titans,Tennessee Titans,Nashville,TN,TEN,2013,10,06,1,0
2013-10-06,Miami Dolphins,Miami Dolphins,Miami,FL,MIA,2013,10,06,0,0
2013-10-06,San Francisco 49ers,San Francisco 49ers,Santa_Clara,CA,SF,2013,10,06,0,0
2013-10-06,Chicago Bears,Chicago Bears,Chicago,IL,CHI,2013,10,06,1,0
2013-10-06,Oakland Raiders,Oakland Raiders,Oakland,CA,OAK,2013,10,06,0,0
2013-10-06,New York Giants,New York Giants,East_Rutherford,NJ,NYG,2013,10,06,1,0
2013-10-06,St. Louis Rams,St. Louis Rams,St_Louis,MO,STL,2013,10,06,0,0
2013-10-06,Cincinnati Bengals,Cincinnati Bengals,Cincinnati,OH,CIN,2013,10,06,1,0
2013-10-06,Dallas Cowboys,Dallas Cowboys,Arlington,TX,DAL,2013,10,06,0,0
2013-10-07,Atlanta Falcons,Atlanta Falcons,Atlanta,GA,ATL,2013,10,07,1,0
2013-11-03,St. Louis Rams,St. Louis Rams,St_Louis,MO,STL,2013,11,03,0,0
2013-11-03,Houston Texans,Houston Texans,Houston,TX,HOU,2013,11,03,0,0
2013-11-03,Washington Redskins,Washington Redskins,Landover,MD,WAS,2013,11,03,0,0
2013-11-03,New York Jets,New York Jets,East_Rutherford,NJ,NYJ,2013,11,03,0,0
2013-11-03,Carolina Panthers,Carolina Panthers,Charlotte,NC,CAR,2013,11,03,0,0
2013-11-03,Buffalo Bills,Buffalo Bills,Orchard_Park,NY,BUF,2013,11,03,0,0
2013-11-03,Seattle Seahawks,Seattle Seahawks,Seattle,WA,SEA,2013,11,03,1,0
2013-11-03,New England Patriots,New England Patriots,Foxboro,MA,NE,2013,11,03,1,0
2013-11-03,Cleveland Browns,Cleveland Browns,Cleveland,OH,CLE,2013,11,03,0,0
2013-11-03,Dallas Cowboys,Dallas Cowboys,Arlington,TX,DAL,2013,11,03,0,0
2013-11-03,Oakland Raiders,Oakland Raiders,Oakland,CA,OAK,2013,11,03,0,0
