dates,location,team,city,state,offense,year
5/9/13,Denver Broncos,Denver Broncos,Denver,CO,DEN,2013
8/9/13,New York Jets,New York Jets,East_Rutherford,NJ,NYJ,2013
8/9/13,Buffalo Bills,Buffalo Bills,Orchard_Park,NY,BUF,2013
8/9/13,St. Louis Rams,St. Louis Rams,St_Louis,MO,STL,2013
8/9/13,Carolina Panthers,Carolina Panthers,Charlotte,NC,CAR,2013
8/9/13,Detroit Lions,Detroit Lions,Detroit,MI,DET,2013
8/9/13,Chicago Bears,Chicago Bears,Chicago,IL,CHI,2013
8/9/13,Jacksonville Jaguars,Jacksonville Jaguars,Jacksonville,FL,JAC,2013
8/9/13,Dallas Cowboys,Dallas Cowboys,Arlington,TX,DAL,2013
8/9/13,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh,PA,PIT,2013
8/9/13,Cleveland Browns,Cleveland Browns,Cleveland,OH,CLE,2013
8/9/13,San Francisco 49ers,San Francisco 49ers,Santa_Clara,CA,SF,2013
8/9/13,Indianapolis Colts,Indianapolis Colts,Indianapolis,IN,IND,2013
8/9/13,New Orleans Saints,New Orleans Saints,New_Orleans,LA,NO,2013
12/9/13,New England Patriots,New England Patriots,Foxboro,MA,NE,2013
3/10/13,Cleveland Browns,Cleveland Browns,Cleveland,OH,CLE,2013
6/10/13,Arizona Cardinals,Arizona Cardinals,Glendale,AZ,ARI,2013
6/10/13,Green Bay Packers,Green Bay Packers,Green_Bay,WI,GB,2013
6/10/13,Indianapolis Colts,Indianapolis Colts,Indianapolis,IN,IND,2013
6/10/13,Tennessee Titans,Tennessee Titans,Nashville,TN,TEN,2013
6/10/13,Miami Dolphins,Miami Dolphins,Miami,FL,MIA,2013
6/10/13,San Francisco 49ers,San Francisco 49ers,Santa_Clara,CA,SF,2013
6/10/13,Chicago Bears,Chicago Bears,Chicago,IL,CHI,2013
6/10/13,Oakland Raiders,Oakland Raiders,Oakland,CA,OAK,2013
6/10/13,New York Giants,New York Giants,East_Rutherford,NJ,NYG,2013
6/10/13,St. Louis Rams,St. Louis Rams,St_Louis,MO,STL,2013
6/10/13,Cincinnati Bengals,Cincinnati Bengals,Cincinnati,OH,CIN,2013
6/10/13,Dallas Cowboys,Dallas Cowboys,Arlington,TX,DAL,2013
7/10/13,Atlanta Falcons,Atlanta Falcons,Atlanta,GA,ATL,2013
3/11/13,St. Louis Rams,St. Louis Rams,St_Louis,MO,STL,2013
3/11/13,Houston Texans,Houston Texans,Houston,TX,HOU,2013
3/11/13,Washington Redskins,Washington Redskins,Landover,MD,WAS,2013
3/11/13,New York Jets,New York Jets,East_Rutherford,NJ,NYJ,2013
3/11/13,Carolina Panthers,Carolina Panthers,Charlotte,NC,CAR,2013
3/11/13,Buffalo Bills,Buffalo Bills,Orchard_Park,NY,BUF,2013
3/11/13,Seattle Seahawks,Seattle Seahawks,Seattle,WA,SEA,2013
3/11/13,New England Patriots,New England Patriots,Foxboro,MA,NE,2013
3/11/13,Cleveland Browns,Cleveland Browns,Cleveland,OH,CLE,2013
3/11/13,Dallas Cowboys,Dallas Cowboys,Arlington,TX,DAL,2013
3/11/13,Oakland Raiders,Oakland Raiders,Oakland,CA,OAK,2013
4/11/13,Green Bay Packers,Green Bay Packers,Green_Bay,WI,GB,2013
7/11/13,Minnesota Vikings,Minnesota Vikings,Minneapolis,MN,MIN,2013
10/11/13,San Francisco 49ers,San Francisco 49ers,Santa_Clara,CA,SF,2013
10/11/13,Indianapolis Colts,Indianapolis Colts,Indianapolis,IN,IND,2013
10/11/13,Atlanta Falcons,Atlanta Falcons,Atlanta,GA,ATL,2013
10/11/13,Tennessee Titans,Tennessee Titans,Nashville,TN,TEN,2013
10/11/13,San Diego Chargers,San Diego Chargers,San_Diego,CA,SD,2013
10/11/13,New York Giants,New York Giants,East_Rutherford,NJ,NYG,2013
10/11/13,Chicago Bears,Chicago Bears,Chicago,IL,CHI,2013
10/11/13,Green Bay Packers,Green Bay Packers,Green_Bay,WI,GB,2013
10/11/13,Arizona Cardinals,Arizona Cardinals,Glendale,AZ,ARI,2013
10/11/13,Baltimore Ravens,Baltimore Ravens,Baltimore,MD,BAL,2013
