,score,y_proba,scoreDiff,Yards,YardLine,PlayType,OffenseTeam,DefenseTeam,Quarter,Minute,Second,constant,totalsec,secondspassed
71978,0,0.880228167034,-0.0,3.0,80,RUSH,CHI,GB,1,840,59,0.75,899,1
71979,0,0.803164111446,0.0,22.0,77,RUSH,CHI,GB,1,840,26,0.75,866,34
71980,0,0.694070356966,0.0,8.0,55,PASS,CHI,GB,1,840,1,0.75,841,59
71981,0,0.922166302247,0.0,4.0,47,RUSH,CHI,GB,1,780,37,0.75,817,83
71982,0,0.744331293483,0.0,6.0,43,PASS,CHI,GB,1,720,59,0.75,779,121
71983,0,0.621894584012,0.0,0.0,37,PASS,CHI,GB,1,720,17,0.75,737,163
71984,0,0.998495746925,0.0,25.0,37,PASS,CHI,GB,1,720,11,0.75,731,169
71985,0,0.817623944286,0.0,4.0,12,RUSH,CHI,GB,1,660,33,0.75,693,207
71986,0,0.999006022002,0.0,5.0,13,PASS,CHI,GB,1,600,44,0.75,644,256
71987,3,0.999777232358,0.0,0.0,10,FIELD GOAL,CHI,GB,1,540,32,0.75,572,328
72050,0,0.660911265876,-3.0,5.0,41,RUSH,GB,CHI,1,480,49,0.75,529,371
72051,0,0.974791008236,-3.0,0.0,46,PASS,GB,CHI,1,480,8,0.75,488,412
72052,0,0.999604813929,-3.0,0.0,46,PUNT,GB,CHI,1,480,4,0.75,484,416
71988,0,0.833208182093,3.0,1.0,80,RUSH,CHI,GB,1,420,55,0.75,475,425
71989,0,0.870378558664,3.0,9.0,79,PASS,CHI,GB,1,420,12,0.75,432,468
71990,0,0.884699415333,3.0,1.0,70,RUSH,CHI,GB,1,360,48,0.75,408,492
71991,0,0.945811196424,3.0,0.0,69,PASS,CHI,GB,1,360,0,0.75,360,540
71992,0,0.999766472407,3.0,0.0,79,PUNT,CHI,GB,1,300,32,0.75,332,568
72053,0,0.859908676545,-3.0,20.0,23,PASS,GB,CHI,1,300,25,0.75,325,575
72054,0,0.824970891885,-3.0,1.0,43,RUSH,GB,CHI,1,240,53,0.75,293,607
72055,0,0.882212723291,-3.0,9.0,44,PASS,GB,CHI,1,240,19,0.75,259,641
72056,0,0.576984255575,-3.0,16.0,53,RUSH,GB,CHI,1,180,36,0.75,216,684
72057,0,0.877094212618,-3.0,4.0,69,RUSH,GB,CHI,1,180,5,0.75,185,715
72058,0,0.611840879491,-3.0,5.0,73,PASS,GB,CHI,1,120,30,0.75,150,750
72059,0,0.953779719432,-3.0,2.0,78,RUSH,GB,CHI,1,120,6,0.75,126,774
72060,0,0.617243305274,-3.0,0.0,80,PASS,GB,CHI,1,60,37,0.75,97,803
72061,0,0.998797007272,-3.0,7.0,80,PASS,GB,CHI,1,60,30,0.75,90,810
72062,6,0.998732301542,-3.0,13.0,87,PASS,GB,CHI,1,0,50,0.75,50,850
71993,0,0.954925730755,-4.0,2.0,80,RUSH,CHI,GB,1,0,43,0.75,43,857
71994,0,0.650196926509,-4.0,5.0,78,RUSH,CHI,GB,2,900,0,0.75,900,900
71995,0,0.865282246938,-4.0,8.0,73,RUSH,CHI,GB,2,840,16,0.75,856,944
71996,0,0.589310715695,-4.0,6.0,65,RUSH,CHI,GB,2,780,44,0.75,824,976
71997,0,0.662035907545,-4.0,8.0,54,RUSH,CHI,GB,2,720,58,0.75,778,1022
71998,0,0.734055677891,-4.0,0.0,46,PASS,CHI,GB,2,720,12,0.75,732,1068
71999,0,0.996789753655,-4.0,4.0,46,PASS,CHI,GB,2,720,8,0.75,728,1072
72000,0,0.605288092849,-4.0,23.0,37,RUSH,CHI,GB,2,660,14,0.75,674,1126
72001,0,0.996076404471,-4.0,0.0,14,PASS,CHI,GB,2,600,27,0.75,627,1173
72002,0,0.862710762311,-4.0,5.0,14,RUSH,CHI,GB,2,600,22,0.75,622,1178
72003,0,0.998848704488,-4.0,0.0,9,PASS,CHI,GB,2,540,39,0.75,579,1221
72004,3,0.999862846403,-4.0,0.0,9,FIELD GOAL,CHI,GB,2,540,34,0.75,574,1226
72005,0,0.887381905296,-1.0,1.0,5,RUSH,CHI,GB,2,540,29,0.75,569,1231
72006,0,0.997794559224,-1.0,0.0,4,PASS,CHI,GB,2,480,45,0.75,525,1275
72007,6,0.999066588014,-1.0,4.0,4,PASS,CHI,GB,2,480,41,0.75,521,1279
72008,0,0.870728972103,5.0,3.0,4,RUSH,CHI,GB,2,480,33,0.75,513,1287
72009,6,0.522406696773,5.0,1.0,1,RUSH,CHI,GB,2,420,54,0.75,474,1326
72063,0,0.578118168232,-11.0,7.0,20,RUSH,GB,CHI,2,420,49,0.75,469,1331
72064,0,0.700805922878,-12.0,0.0,27,PASS,GB,CHI,2,420,13,0.75,433,1367
